original_string	phrase	book	volume	pages
Cum autem duodecim esset annorum ... (Lc 2, 42)	Cum autem duodecim esset annorum ...	Lc	2	42
Et factum est cum intrasset Iesus in domum … erat ante illum (Lc 14, 1-2)	Et factum est cum intrasset Iesus in domum … erat ante illum	Lc	14	1-2
Et factum est deinceps ibat … vocatur Naim (Lc 7, 11)	Et factum est deinceps ibat … vocatur Naim	Lc	7	11
Et ecce vir venit … synagogae erat. (Lc 8, 41)	Et ecce vir venit … synagogae erat.	Lc	8	41
Appropinquabat autem dies festus azimorum qui dicitur pascha (Lc 22, 1)	Appropinquabat autem dies festus azimorum qui dicitur pascha	Lc	22	1
Cum haec autem loquuntur Iesus steti t… nolite timere (Lc 24, 36)	Cum haec autem loquuntur Iesus steti t… nolite timere	Lc	24	36
Quanta audivimus facta in Capharnaum fac et hic in patria tua (Lc 4, 23)	Quanta audivimus facta in Capharnaum fac et hic in patria tua	Lc	4	23
Et factum est cum intrasset … hydropicus erat ante illum. (Lc 14, 1-2)	Et factum est cum intrasset … hydropicus erat ante illum.	Lc	14	1-2
Cum appropiaret … tetigit loculum (Lc 7, 12-14)	Cum appropiaret … tetigit loculum	Lc	7	12-14
Socrus Simoni Petri tenebatur magnis febribus (Lc 4, 38)	Socrus Simoni Petri tenebatur magnis febribus	Lc	4	38
Ascendens iesus in unam navem … a terra aliquantulum (Lc 5, 3)	Ascendens iesus in unam navem … a terra aliquantulum	Lc	5	3
Factum est autem cum turbae … stagnum genesareth (Lc 5, 1)	Factum est autem cum turbae … stagnum genesareth	Lc	5	1
Cum appropinquaret autem porte civitatis … tetigit loculum (Lc 7, 12-14)	Cum appropinquaret autem porte civitatis … tetigit loculum	Lc	7	12-14
Adtendite a fermento … est ypocrisis (Lc 12, 1)	Adtendite a fermento … est ypocrisis	Lc	12	1
Quis horum trium videtur - in illum (Lc 10, 36-37	Quis horum trium videtur - in illum	Lc	10	-
Et factum est deinceps ibat Ihesus in civitatem quae vocatur Naim (Lc 7, 11)	Et factum est deinceps ibat Ihesus in civitatem quae vocatur Naim	Lc	7	11
Ecce quidam legis peritus … vitam aeternam possidebo. (Lc 10, 25)	Ecce quidam legis peritus … vitam aeternam possidebo.	Lc	10	25
Homo quidam erat dives … apud ipsum (Lc 16, 1)	Homo quidam erat dives … apud ipsum	Lc	16	1
Ecce quidam legisperitus… aeternam possidebo (Lc 10, 25)	Ecce quidam legisperitus… aeternam possidebo	Lc	10	25
Quis horum trium videtur  in illum (Lc 10, 36-37)	Quis horum trium videtur  in illum	Lc	10	36-37
Homo quidam descendebat ab Hierusalem in Hierico (Lc 10, 30)	Homo quidam descendebat ab Hierusalem in Hierico	Lc	10	30
Surgens autem Ihesus … febribus (Lc 4, 38)	Surgens autem Ihesus … febribus	Lc	4	38
Factum est in una dierum et ipse sedebat docens et erant pharisaei docentes (Lc 5, 17)	Factum est in una dierum et ipse sedebat docens et erant pharisaei docentes	Lc	5	17
Et factum est deinceps ibat in civitatem quae vocatur Naim. (Lc 7, 1	Et factum est deinceps ibat in civitatem quae vocatur Naim.	Lc	7	-
Nemo lucernam accendit … supra cande[la]brum (Lc 11, 33)	Nemo lucernam accendit … supra cande[la]brum	Lc	11	33
Et factum est deinceps ibat Ihesus in civitatem que vocatur Naym (Lc 7, 11)	Et factum est deinceps ibat Ihesus in civitatem que vocatur Naym	Lc	7	11
Eodem tempore missus est angelus ... et nomen virginis Maria (Lc 1, 26-27)	Eodem tempore missus est angelus ... et nomen virginis Maria	Lc	1	26-27
Et ecce duo ex illis ibant ipsa die … acciderant (Lc 24, 13-14)	Et ecce duo ex illis ibant ipsa die … acciderant	Lc	24	13-14
Respondens uni cui nomen ... diebus (Lc 24, 18)	Respondens uni cui nomen ... diebus	Lc	24	18
Postquam impleti sunt dies … eum Domino (Lc 2, 22)	Postquam impleti sunt dies … eum Domino	Lc	2	22
Nemo lucernam … sub modio (Lc 11,33)	Nemo lucernam … sub modio	Lc	11	33
Regressus est Ihesus in virtute spiritus in Galileam (Lc 4, 14)	Regressus est Ihesus in virtute spiritus in Galileam	Lc	4	14
Estote misericordes sicut et pater … condemnabimini (Lc 6, 36-37)	Estote misericordes sicut et pater … condemnabimini	Lc	6	36-37
Dimittite et dimittemini ... vobis (Lc 6, 37)	Dimittite et dimittemini ... vobis	Lc	6	37
Dixit autem dominus: Quis putas est fidelis dispensator … suam  (Lc 12, 42).	Dixit autem dominus: Quis putas est fidelis dispensator … suam	Lc	12	42
Quid autem vides festucam … non vides (Lc 6, 41	Quid autem vides festucam … non vides	Lc	6	-
Factum est cum turbae irruerunt ad iesum.duceret a terra (Lc 5, 1-3)	Factum est cum turbae irruerunt ad iesum.duceret a terra	Lc	5	1-3
Erant appropinquantes ad iesum … cum illis (Lc 15, 1-2)	Erant appropinquantes ad iesum … cum illis	Lc	15	1-2
Fuit inquit in diebus herodis regis ... sine querela (Lc 1, 5)	Fuit inquit in diebus herodis regis ... sine querela	Lc	1	5
Homo quidam habuit duos filios (Lc 15,11)	Homo quidam habuit duos filios	Lc	15	11
Quanta audivimus ...  in patria tua (Lc 4, 23)	Quanta audivimus ...  in patria tua	Lc	4	23
Quanta audivimus facta in capharnaum ... patria tua (Lc 4, 23)	Quanta audivimus facta in capharnaum ... patria tua	Lc	4	23
Homo quidam nobilis abiit in regionem … reverti (Lc 19, 12)	Homo quidam nobilis abiit in regionem … reverti	Lc	19	12
Regressus est Ihesus in virtute spiritus in Galileam … ab omnibus (Lc 4, 14-15)	Regressus est Ihesus in virtute spiritus in Galileam … ab omnibus	Lc	4	14-15
Et factum est dum recumberet ... et cognoverunt eum (Lc 24, 30-31)	Et factum est dum recumberet ... et cognoverunt eum	Lc	24	30-31
Extollens vocem quaedam mulier … suxisti (Lc 11, 27)	Extollens vocem quaedam mulier … suxisti	Lc	11	27
Et regressus est Ihesus in virtute spiritus in Galileam (Lc 4, 14)	Et regressus est Ihesus in virtute spiritus in Galileam	Lc	4	14
Homo quam habebat duos filios (Lc 15, 11)	Homo quam habebat duos filios	Lc	15	11
Et ut perfecerunt omnia secundum legem … suam Nazareth. (Lc 2,39)	Et ut perfecerunt omnia secundum legem … suam Nazareth.	Lc	2	39
Factum est autem cum baptizatus esset ... complacui mihi. (Lc 3, 21-22)	Factum est autem cum baptizatus esset ... complacui mihi.	Lc	3	21-22
Ingressus iesus perambulabat … pusillus erat (Lc 19, 1-3).	Ingressus iesus perambulabat … pusillus erat	Lc	19	1-3
Quanta audivimus facta in Capharnaum … in patria tua (Lc 4, 23)	Quanta audivimus facta in Capharnaum … in patria tua	Lc	4	23
Et postquam impleti sunt dies purgationis …. ut sisterent eum Domino (Lc 2, 22)	Et postquam impleti sunt dies purgationis …. ut sisterent eum Domino	Lc	2	22
Si peccaverit in te frater tuus increpa illum (Lc 17, 3)	Si peccaverit in te frater tuus increpa illum	Lc	17	3
Dicebat autem dominus iesus ad discipulos suos: homo quidam erat … in domos suas (Lc. 16, 1-4)	Dicebat autem dominus iesus ad discipulos suos: homo quidam erat … in domos suas	Lc.	16	1-4
Factum est autem in una dierum et ipse ascaendit in una navicula … et ascenderunt (Lc. 8, 22)	Factum est autem in una dierum et ipse ascaendit in una navicula … et ascenderunt	Lc.	8	22
Eodem tempore missus est angelus Gabriel ... Maria (Lc. 1, 26-28)	Eodem tempore missus est angelus Gabriel ... Maria	Lc.	1	26-28
Et egressus iesus perambulabat hiericho … possibilia sunt apud deum (Lc. 19, 1-4)	Et egressus iesus perambulabat hiericho … possibilia sunt apud deum	Lc.	19	1-4
Et audivit Herodes rex ... in illo (Mc 6, 14)	Et audivit Herodes rex ... in illo	Mc	6	14
Et egressus iesus … ad eum (Mc 2, 13)	Et egressus iesus … ad eum	Mc	2	13
Cum sero esset factum, erat navis … contrarius eis (Mc 6, 47)	Cum sero esset factum, erat navis … contrarius eis	Mc	6	47
Erat autem pascha et azima post viduum (Mc 14, 1)	Erat autem pascha et azima post viduum	Mc	14	1
Magister attuli filium … et non potuerunt (Mc 9, 16-17)	Magister attuli filium … et non potuerunt	Mc	9	16-17
Et cum sero esset, erat navis… contrarius eis (Mc 6, 47-48)	Et cum sero esset, erat navis… contrarius eis	Mc	6	47-48
In illis diebus iterum cum turba esset … manducent  (Mc 8, 1-2)	In illis diebus iterum cum turba esset … manducent	Mc	8	1-2
Et exiens vidit turbam ... multa (Mc 6, 34)	Et exiens vidit turbam ... multa	Mc	6	34
Et cum sero esset ... eis (Mc 6, 47-48)	Et cum sero esset ... eis	Mc	6	47-48
Et cum sero esset …  ventus contrarius eis (Mc. 6, 47-48)	Et cum sero esset …  ventus contrarius eis	Mc.	6	47-48
Cum autem venerit filius hominis … omnis gentes et cetera (Mt 25, 31-32)	Cum autem venerit filius hominis … omnis gentes et cetera	Mt	25	31-32
Scitis quia post biduum pascha fiet … ut crucifigetur (Mt 26, 2)	Scitis quia post biduum pascha fiet … ut crucifigetur	Mt	26	2
Vos estis lux mundi (Mt 5, 14)	Vos estis lux mundi	Mt	5	14
Accesserunt ad Ihesum scribe … signum videre (Mt 12, 38)	Accesserunt ad Ihesum scribe … signum videre	Mt	12	38
Tunc Ihesus locutus est ad turbas … et non faciunt (Mt 23, 1-3)	Tunc Ihesus locutus est ad turbas … et non faciunt	Mt	23	1-3
Ascendit Ihesus Ierusolymam et assumpsit duodecim discipulos seorsum in itinere  (Mt 20, 17)	Ascendit Ihesus Ierusolymam et assumpsit duodecim discipulos seorsum in itinere	Mt	20	17
Homo erat paterfamilias (Mt 21, 33)	Homo erat paterfamilias	Mt	21	33
Descendente Iesu de monte … cum turbae multae (Mt 8, 1)	Descendente Iesu de monte … cum turbae multae	Mt	8	1
Ascendente Ihesu in naviculam … est in mari. Et reliqua (Mt 8, 23-24)	Ascendente Ihesu in naviculam … est in mari. Et reliqua	Mt	8	23-24
Cum introisset Ihesus Hierusolymam … quis est hic (Mt 21, 10)	Cum introisset Ihesus Hierusolymam … quis est hic	Mt	21	10
Et ecce unus accedens … aeternam (Mt 19, 16)	Et ecce unus accedens … aeternam	Mt	19	16
Simile est regnum caelorum … vineam suam (Mt 20, 1 )	Simile est regnum caelorum … vineam suam	Mt	20	1
Cum intrasset Ihesus Hierusolimam turba autem dicenbat hic est Ihesus propheta a Nazareth galilee. (Mt 21, 10-11)	Cum intrasset Ihesus Hierusolimam turba autem dicenbat hic est Ihesus propheta a Nazareth galilee.	Mt	21	10-11
Vespere autem sabbati…sepulchrum (Mt 28, 1)	Vespere autem sabbati…sepulchrum	Mt	28	1
Et ecce unus … aeternam et reliqua (Mt 19, 16)	Et ecce unus … aeternam et reliqua	Mt	19	16
Descendente Ihesu de monte secute sunt eum turbe multe (Mt 8, 1)	Descendente Ihesu de monte secute sunt eum turbe multe	Mt	8	1
Cum transisset iesus … ad pedes eius (Mt 15, 29-30)	Cum transisset iesus … ad pedes eius	Mt	15	29-30
Simile est regnum caelorum hominis patrifamilias … in vineam suam (Mt 20, 1)	Simile est regnum caelorum hominis patrifamilias … in vineam suam	Mt	20	1
Vos estis lumen mundi (Mt 5, 14)	Vos estis lumen mundi	Mt	5	14
In illa die … resurretionem non esse (Mt 22, 23)	In illa die … resurretionem non esse	Mt	22	23
Cum autem venerit filius hominis in gloria sua … omnes gentes et cetera  (Mt 25, 31-34)	Cum autem venerit filius hominis in gloria sua … omnes gentes et cetera	Mt	25	31-34
In illo die accesserunt … resurrectionem (Mt 22, 23).	In illo die accesserunt … resurrectionem	Mt	22	23
Ascendens Ihesus Hierusolimam assumsit  … tertia die resurget. (Mt 20, 17-19)	Ascendens Ihesus Hierusolimam assumsit  … tertia die resurget.	Mt	20	17-19
Cum autem venerit filius … ante eum omnes gentes (Mt 25,31-32)	Cum autem venerit filius … ante eum omnes gentes	Mt	25	31-32
Accesserunt ad Iesum scribe … signum videre (Mt 12,38)	Accesserunt ad Iesum scribe … signum videre	Mt	12	38
Et ascendens Iesus … seorsum in itinere (Mt 20,17)	Et ascendens Iesus … seorsum in itinere	Mt	20	17
Tunc Ihesus locutus est ad turbas  … et non faciuntur (Mt 23, 1-3)	Tunc Ihesus locutus est ad turbas  … et non faciuntur	Mt	23	1-3
Et post dies sex assumens … fratrem eius. (Mt 17, 1)	Et post dies sex assumens … fratrem eius.	Mt	17	1
Tunc responderunt ei quidam … Ionas in ventre ceti. Et cetera (Mt 12, 38-40)	Tunc responderunt ei quidam … Ionas in ventre ceti. Et cetera	Mt	12	38-40
Si autem peccaverit in te frater tuus … et reliqua. (Mt 18,15)	Si autem peccaverit in te frater tuus … et reliqua.	Mt	18	15
Tunc responderunt ei … signum videre (Mt 12, 38)	Tunc responderunt ei … signum videre	Mt	12	38
Quare discipuli transgrediuntur traditionum seniorum (Mt 15, 2)	Quare discipuli transgrediuntur traditionum seniorum	Mt	15	2
Homo erat paterfamilias … peregre profectus (Mt 21, 33)	Homo erat paterfamilias … peregre profectus	Mt	21	33
Cum intrasset Ihesus Hierusolymam … est hic (Mt 21, 10)	Cum intrasset Ihesus Hierusolymam … est hic	Mt	21	10
Tunc Iesus locutus …  (Mt 23,1-3)	Tunc Iesus locutus …	Mt	23	1-3
Audistis quia dictum est dilige proximum (Mt 5, 43)	Audistis quia dictum est dilige proximum	Mt	5	43
Et dimissa turba ascendit in montem solus orare (Mt 14, 23)	Et dimissa turba ascendit in montem solus orare	Mt	14	23
Cum autem verit filius hominis in gloria sua  … omnis gentes. Et cetera. (Mt 25, 31-32)	Cum autem verit filius hominis in gloria sua  … omnis gentes. Et cetera.	Mt	25	31-32
Et dimissa turba ascendit in montem orare. (Mt 14, 23)	Et dimissa turba ascendit in montem orare.	Mt	14	23
Tunc iesus locutus est ad turbas ... (Mt 23, 1-3)	Tunc iesus locutus est ad turbas ...	Mt	23	1-3
Tunc iesus locutus est turbis et discipulis suis dicens super cathedram Moysi ... et reliqua (Mt 23, 1-2)	Tunc iesus locutus est turbis et discipulis suis dicens super cathedram Moysi ... et reliqua	Mt	23	1-2
Et ascendens iesus ierosolimam assumpsit ... (Mt 20, 17)	Et ascendens iesus ierosolimam assumpsit ...	Mt	20	17
Et ascendens iesus ierosolymis assumpsit ... (Mt 20, 17-18)	Et ascendens iesus ierosolymis assumpsit ...	Mt	20	17-18
Cum ieiunatis nolite fieri sicut ipocrite tristes. Ex terminant eum facies suas ut videatur … suam. (Mt 6, 16)	Cum ieiunatis nolite fieri sicut ipocrite tristes. Ex terminant eum facies suas ut videatur … suam.	Mt	6	16
Et cum intrasset Ihesus Hierusolymam … est hic. (Mt 21, 10)	Et cum intrasset Ihesus Hierusolymam … est hic.	Mt	21	10
Descendente Iesu de monte … turbe multe (Mt 8,1)	Descendente Iesu de monte … turbe multe	Mt	8	1
Si peccaverit in te frater tuus vade et corripe eum inter te et ipsum et reliqua (Mt 18, 15)	Si peccaverit in te frater tuus vade et corripe eum inter te et ipsum et reliqua	Mt	18	15
Ecce ego mitto… scribas (Mt 23,34)	Ecce ego mitto… scribas	Mt	23	34
Et venit in civitatem suam … peccata tua (Mt 9, 1-2)	Et venit in civitatem suam … peccata tua	Mt	9	1-2
Simile factum est … tritici et reliqua (Mt 13, 24-25)	Simile factum est … tritici et reliqua	Mt	13	24-25
Et egressus Ihesus de templo … structuram templi (Mt 24, 1)	Et egressus Ihesus de templo … structuram templi	Mt	24	1
Et egressus Ihesus de templo … destruatur (Mt 24, 1-2)	Et egressus Ihesus de templo … destruatur	Mt	24	1-2
Cum ergo videritis … intellegat (Mt 24, 15)	Cum ergo videritis … intellegat	Mt	24	15
De die autem illa et hora … pater solus (Mt 24, 36)	De die autem illa et hora … pater solus	Mt	24	36
Scitis quia post biduum Pascha fiet … ut crucifigetur (Mt 26, 2)	Scitis quia post biduum Pascha fiet … ut crucifigetur	Mt	26	2
Simile est regnum … et reliqua (Mt 20, 1)	Simile est regnum … et reliqua	Mt	20	1
Cum autem ieiunatis nolite fieri sicut hipocrite tristes. Exterminant enim facies suas ut videantur hominibus ieiunantes … mercedem suam (Mt 6, 16-17)	Cum autem ieiunatis nolite fieri sicut hipocrite tristes. Exterminant enim facies suas ut videantur hominibus ieiunantes … mercedem suam	Mt	6	16-17
Accessit ad iesum centurio rogans eum et dicens domine puer meus iacet in domo paraliticus et male torquetur … curabo eum et cetera (Mt 8, 5-7)	Accessit ad iesum centurio rogans eum et dicens domine puer meus iacet in domo paraliticus et male torquetur … curabo eum et cetera	Mt	8	5-7
Post hec autem cum intrasset iesus capharnaum accessit ad eum quidam tribunus … in domo paraliticus (Mt 8, 5-6)	Post hec autem cum intrasset iesus capharnaum accessit ad eum quidam tribunus … in domo paraliticus	Mt	8	5-6
Tunc iesus ductus est in desertum … a diabolo (Mt 4,1)	Tunc iesus ductus est in desertum … a diabolo	Mt	4	1
Scitis quia post biduum … ut crucifigatur (Mt 26, 2)	Scitis quia post biduum … ut crucifigatur	Mt	26	2
Et venit in civitatem suam et ecce … tibi peccata sua. Et reliqua (Mt 9, 1-2)	Et venit in civitatem suam et ecce … tibi peccata sua. Et reliqua	Mt	9	1-2
Homo erat paterfamilias qui plantavit vineam (Mt 21, 33)	Homo erat paterfamilias qui plantavit vineam	Mt	21	33
In illa die accesserunt ad Ihesum sadducei … resurrectione non esse (Mt 22, 23)	In illa die accesserunt ad Ihesum sadducei … resurrectione non esse	Mt	22	23
Quare discipuli transgrediuntur traditiones seniorum? (Mt 15, 1)	Quare discipuli transgrediuntur traditiones seniorum?	Mt	15	1
Cum venisset iesus in domum petri … febricitantem (Mt 8, 14)	Cum venisset iesus in domum petri … febricitantem	Mt	8	14
Dixitque ad discipulos suos: Ideo dico vobis … vestimentum (Mt 6, 25)	Dixitque ad discipulos suos: Ideo dico vobis … vestimentum	Mt	6	25
Nemo potest duobus dominis servire (Mt 6, 24)	Nemo potest duobus dominis servire	Mt	6	24
Scitis quia post biduum pascha … crucifigatur (Mt 26, 2)	Scitis quia post biduum pascha … crucifigatur	Mt	26	2
Scitis quia post … crucifigatur (Mt 26, 2)	Scitis quia post … crucifigatur	Mt	26	2
Quare discipuli tui … traditionem seniorum. (Mt 15, 2)	Quare discipuli tui … traditionem seniorum.	Mt	15	2
In illa die accesserunt ad Iesum sadducei … et reliqua.(Mt 22, 23)	In illa die accesserunt ad Iesum sadducei … et reliqua.	Mt	22	23
Simile factum est regnum caelorum homini qui seminavit bonum semen in agro suo … et reliqua (Mt 13, 24-25)	Simile factum est regnum caelorum homini qui seminavit bonum semen in agro suo … et reliqua	Mt	13	24-25
Ascendens Iesus in naviculam ... paralyticum (Mt 9, 1-2)	Ascendens Iesus in naviculam ... paralyticum	Mt	9	1-2
Cum ergo videritis abhominationem desolationis … qui legit intellegat  (Mt  24, 15)	Cum ergo videritis abhominationem desolationis … qui legit intellegat	Mt	24	15
In illa die accesserunt ad Iesum sadducei qui dicunt non esse resurrectionem (Mt 22, 23)	In illa die accesserunt ad Iesum sadducei qui dicunt non esse resurrectionem	Mt	22	23
In illa hora accesserunt discipuli ad Ihesum … caelorum (Mt 18, 1)	In illa hora accesserunt discipuli ad Ihesum … caelorum	Mt	18	1
Ascendens Iesus in naviculam … paralyticum (Mt 9, 1-2)	Ascendens Iesus in naviculam … paralyticum	Mt	9	1-2
Simile est regnum coelorum homini… in medio tritici et reliqua (Mt 13, 24-25)	Simile est regnum coelorum homini… in medio tritici et reliqua	Mt	13	24-25
Et ecce princeps unus accessit ... discipuli eius (Mt 9, 18-19)	Et ecce princeps unus accessit ... discipuli eius	Mt	9	18-19
Egressus iesus de templo … templi (Mt 24, 1)	Egressus iesus de templo … templi	Mt	24	1
Egressus iesus de templo … destruatur (Mt 24, 1-2)	Egressus iesus de templo … destruatur	Mt	24	1-2
Cum ergo videritis abhominationem desolationis ... intellegat (Mt 24, 15)	Cum ergo videritis abhominationem desolationis ... intellegat	Mt	24	15
De die autem illa et hora … solus (Mt 24, 36)	De die autem illa et hora … solus	Mt	24	36
Simile factum est regnum coelorum homini … in medio tritici et reliqua (Mt 13, 24-25)	Simile factum est regnum coelorum homini … in medio tritici et reliqua	Mt	13	24-25
Et ecce princeps … discipuli eius (Mt 9, 18-19)	Et ecce princeps … discipuli eius	Mt	9	18-19
Tunc respondens Petrus dixit: ecce nos ... erit nobis (Mt 19, 27)	Tunc respondens Petrus dixit: ecce nos ... erit nobis	Mt	19	27
Ame[n]  inquit dico vobis quod vos … Israhel (Mt 19, 28)	Ame[n]  inquit dico vobis quod vos … Israhel	Mt	19	28
Tunc respondens Petrus ... nobis (Mt 19, 27)	Tunc respondens Petrus ... nobis	Mt	19	27
Compulit Iesus discipulos suos ascendere … turbas (Mt 14, 22)	Compulit Iesus discipulos suos ascendere … turbas	Mt	14	22
Attendite a falsis prophetis qui veniunt ... rapaces (Mt  7, 15)	Attendite a falsis prophetis qui veniunt ... rapaces	Mt	7	15
Ascendens Iesus … ei paralyticum (Mt 9, 1-2)	Ascendens Iesus … ei paralyticum	Mt	9	1-2
In illa hora accesserunt discipuli … in regno coelorum (Mt 18, 1)	In illa hora accesserunt discipuli … in regno coelorum	Mt	18	1
In illa die accesserunt ad Iesum … multa certamina (Mt 22, 23)	In illa die accesserunt ad Iesum … multa certamina	Mt	22	23
In illa die accesserunt … non esse resurrectionem et reliqua (Mt 22, 23)	In illa die accesserunt … non esse resurrectionem et reliqua	Mt	22	23
Accesserunt ad Dominum … resurrectionem (Mt 22, 23)	Accesserunt ad Dominum … resurrectionem	Mt	22	23
In illa hora accesserunt … caelorum (Mt 18, 1)	In illa hora accesserunt … caelorum	Mt	18	1
Egressus Ihesus de templo ibat … templi (Mt 24, 1)	Egressus Ihesus de templo ibat … templi	Mt	24	1
Ideo assimilitatum est regnum caelorum … suis. (Mt 18, 23)	Ideo assimilitatum est regnum caelorum … suis.	Mt	18	23
Dixit Ihesus discipulis suis: ecce mitto vos ... luporum (Mt 10, 16)	Dixit Ihesus discipulis suis: ecce mitto vos ... luporum	Mt	10	16
In illa die accesserunt ad Ihesum sadducaei qui dicunt resurectionem non esse (Mt 22, 23)	In illa die accesserunt ad Ihesum sadducaei qui dicunt resurectionem non esse	Mt	22	23
Nihil enim opertum est … scietur (Mt 10, 26)	Nihil enim opertum est … scietur	Mt	10	26
Egressus Iesus ... templi (Mt 24, 1)	Egressus Iesus ... templi	Mt	24	1
Cum ergo videritis … qui legit intellegat (Mt 24, 15)	Cum ergo videritis … qui legit intellegat	Mt	24	15
Iohannis inquit audiens in vinculis opera Christi ... Expectamus? (Mt 11, 2-4)	Iohannis inquit audiens in vinculis opera Christi ... Expectamus?	Mt	11	2-4
Et ascendente iesu ... eius (Mt 8, 23)	Et ascendente iesu ... eius	Mt	8	23
Simile est …sua (Mt 20, 1)	Simile est …sua	Mt	20	1
In illo tempore exiens Ihesus de domo …multE (Mt 13 1-2)	In illo tempore exiens Ihesus de domo …multE	Mt	-	13 1-2
Cum autem ieiunatis … suam(Mt 6, 16)	Cum autem ieiunatis … suam	Mt	6	16
Audistis quia dictum est ... tuum (Mt 5, 43)	Audistis quia dictum est ... tuum	Mt	5	43
Accipe puerum et matrem eius (Mt 2, 13)	Accipe puerum et matrem eius	Mt	2	13
Defuncto autem Herode ecce angelus … et reliqua (Mt 2, 19-20)	Defuncto autem Herode ecce angelus … et reliqua	Mt	2	19-20
Descendente Iesu de monte secute sunt eum turbe multe (Mt 8, 1)	Descendente Iesu de monte secute sunt eum turbe multe	Mt	8	1
Cum autem ieiunatis nolite fieri ... mercedem suam (Mt 6, 16)	Cum autem ieiunatis nolite fieri ... mercedem suam	Mt	6	16
Audistis quia dictum est ... inimicum tuum (Mt 5, 43)	Audistis quia dictum est ... inimicum tuum	Mt	5	43
Scitis quia post biduum … crucifigatur (Mt 26, 2)	Scitis quia post biduum … crucifigatur	Mt	26	2
Vespere autem sabbati ... videre sepulchrum (Mt 28, 1)	Vespere autem sabbati ... videre sepulchrum	Mt	28	1
Vespere autem sabbati … videre sepulchrum (Mt 28, 1)	Vespere autem sabbati … videre sepulchrum	Mt	28	1
Vespere autem sabbati …  videre sepulchrum (Mt 28, 1)	Vespere autem sabbati …  videre sepulchrum	Mt	28	1
Audistis quia dictum est … et odies inimicum tuum (Mt  5,43)	Audistis quia dictum est … et odies inimicum tuum	Mt	5	43
Cum autem ieiunatis nolite fieri… perceperunt mercedem suam (Mt 6, 16)	Cum autem ieiunatis nolite fieri… perceperunt mercedem suam	Mt	6	16
Descendente Iesu de monte secutae sunt turbae multae (Mt 8, 1)	Descendente Iesu de monte secutae sunt turbae multae	Mt	8	1
Venit autem iesus in partes cesareae philippi (Mt 16, 13)	Venit autem iesus in partes cesareae philippi	Mt	16	13
Omnis qui irascitur fratri suo (Mt 5, 22)	Omnis qui irascitur fratri suo	Mt	5	22
Attendite a falsis prophetis ... lupi rapaces (Mt 7, 15)	Attendite a falsis prophetis ... lupi rapaces	Mt	7	15
Adtendite a falsis prophetis … lupi rapaces (Mt 7, 15)	Adtendite a falsis prophetis … lupi rapaces	Mt	7	15
Ecce ego mitto ad vos prophetas … in civitatem (Mt 23, 34)	Ecce ego mitto ad vos prophetas … in civitatem	Mt	23	34
Cum esset desponsata ... habens de spiritu sancto (Mt 1, 18)	Cum esset desponsata ... habens de spiritu sancto	Mt	1	18
De die … solus (Mt 24, 36)	De die … solus	Mt	24	36
Egressus Iesus … qui non destruatur (Mt 24, 1-14)	Egressus Iesus … qui non destruatur	Mt	24	1-14
Sicut enim homo … unum (Mt 25, 14-15)	Sicut enim homo … unum	Mt	25	14-15
Et interrogavit eum unus legis doctor (Mt 12, 35)	Et interrogavit eum unus legis doctor	Mt	12	35
Quid autem videm festucam ... non vides (Mt 7, 3)	Quid autem videm festucam ... non vides	Mt	7	3
Attendite a falsis prophetis … sunt lupi rapaces. (Mt 7, 15)	Attendite a falsis prophetis … sunt lupi rapaces.	Mt	7	15
In illa hora accesserunt discipuli … in regno caelorum. (Mt 18, 1)	In illa hora accesserunt discipuli … in regno caelorum.	Mt	18	1
Adtendite a falsis prophetis qui veniunt … sunt lupi rapaces (Mt 7, 15)	Adtendite a falsis prophetis qui veniunt … sunt lupi rapaces	Mt	7	15
Attendite a falsis prophetis ... rapaces (Mt 7, 15)	Attendite a falsis prophetis ... rapaces	Mt	7	15
Attendite a falsis prophetis … rapaces (Mt 7, 15)	Attendite a falsis prophetis … rapaces	Mt	7	15
Ecce ego mitto ad vos prophetas et sapientes … in civitatem. (Mt 23, 34)	Ecce ego mitto ad vos prophetas et sapientes … in civitatem.	Mt	23	34
In illo tempore audivit Herodes … in eo (Mt 14, 1-3)	In illo tempore audivit Herodes … in eo	Mt	14	1-3
Nihil enim opertum … scietur (Mt 10, 26)	Nihil enim opertum … scietur	Mt	10	26
Nolite arbitrari quia … sed gladium (Mt 10, 34).  Supra dixerat: quod dico vobis in tenebris … super tecta (Mt 10, 27)	Nolite arbitrari quia … sed gladium	Mt	10	34
In illa die accesserunt ad Iesum ... resurretionem (Mt 22, 23 )	In illa die accesserunt ad Iesum ... resurretionem	Mt	22	23
In illa die accesserunt ad Iesum ... resurrectionem (Mt 22, 23)	In illa die accesserunt ad Iesum ... resurrectionem	Mt	22	23
In illa hora accesserunt ... caelorum (Mt 18, 1)	In illa hora accesserunt ... caelorum	Mt	18	1
Vespere sabbati ... sepulcrum (Mt 28,1)	Vespere sabbati ... sepulcrum	Mt	28	1
Cum esset desponsata … sancto (Mt 18, 1)	Cum esset desponsata … sancto	Mt	18	1
Simile factum est regnum caelorum ... ... tritici et reliqua (Mt 13, 24-25)	Simile factum est regnum caelorum ... ... tritici et reliqua	Mt	13	24-25
Egressus Iesus de templo … templi (Mt 24,1)	Egressus Iesus de templo … templi	Mt	24	1
Egressus Iesus de templo ibat … destruatur (Mt 24,1-2)	Egressus Iesus de templo ibat … destruatur	Mt	24	1-2
