original_string	phrase	book	volume	pages
Cena inquid facta cum diabolus iam misisset in cor … erat precinctus (Gv 13, 2-5)	Cena inquid facta cum diabolus iam misisset in cor … erat precinctus	Gv	13	2-5
Audistis fratres karissimi in lectione evangelica quod quidam regulus cuius filius ... inquit mori (Gv 4, 46-47)	Audistis fratres karissimi in lectione evangelica quod quidam regulus cuius filius ... inquit mori	Gv	4	46-47
Collegerunt pontifices… quid facimus (Gv 11, 47)	Collegerunt pontifices… quid facimus	Gv	11	47
Collegerunt pontifices et pharisaeis consilium et dicebant quid facimus (Gv 11, 47)	Collegerunt pontifices et pharisaeis consilium et dicebant quid facimus	Gv	11	47
Collegerunt pontifices et phariseis consilium et dicebant quid faciamus (Gv 11, 47)	Collegerunt pontifices et phariseis consilium et dicebant quid faciamus	Gv	11	47
Collegerunt pontifices … et dicebant quid facimus (Gv 11, 47)	Collegerunt pontifices … et dicebant quid facimus	Gv	11	47
Et ecce quidam regulus… inquit mori (Gv 4, 46-47)	Et ecce quidam regulus… inquit mori	Gv	4	46-47
Sic enim dilexit ... daret (Gv 3, 16)	Sic enim dilexit ... daret	Gv	3	16
Iesus ergo ante sex … discumbentibus (Gv 12, 1-2)	Iesus ergo ante sex … discumbentibus	Gv	12	1-2
Cum esse sero die illo una sabbatorum …latus (Gv 20, 19-20)	Cum esse sero die illo una sabbatorum …latus	Gv	20	19-20
Audistis fratres karissimi in lectione evangelica quod quidam regulus ... inquit mori (Gv 4, 46-47)	Audistis fratres karissimi in lectione evangelica quod quidam regulus ... inquit mori	Gv	4	46-47
Ecce quidam regulus cuius filius … enim mori. (Gv 4, 46-47)	Ecce quidam regulus cuius filius … enim mori.	Gv	4	46-47
Cum lavaret dominus … pedes? (Gv 13, 5-7)	Cum lavaret dominus … pedes?	Gv	13	5-7
Iesus ante sex dies … discumbentibus (Gv 12, 1-2)	Iesus ante sex dies … discumbentibus	Gv	12	1-2
Cogitaverunt … Iesum (Gv 12, 10-11)	Cogitaverunt … Iesum	Gv	12	10-11
Collegerunt ergo ... facimus (Gv 11, 47)	Collegerunt ergo ... facimus	Gv	11	47
Quis ex vobis arguit me de peccato? (Gv 8, 46)	Quis ex vobis arguit me de peccato?	Gv	8	46
Cum esset sero die illo … et latus (Gv 20, 19-20)	Cum esset sero die illo … et latus	Gv	20	19-20
Hoc est preceptum meum ut diligatis invicem sicut dilexi vos (Gv 15, 12)	Hoc est preceptum meum ut diligatis invicem sicut dilexi vos	Gv	15	12
Quis ex vobis arguit me de peccato (Gv 8, 46)	Quis ex vobis arguit me de peccato	Gv	8	46
Venit autem  Ihesus in civitatem Samariae … autem ibi fons Iacob (Gv 4, 5-6)	Venit autem  Ihesus in civitatem Samariae … autem ibi fons Iacob	Gv	4	5-6
Miserunt principes et pharisaei ministros ut appraehenderent Ihesum (Gv 7, 32)	Miserunt principes et pharisaei ministros ut appraehenderent Ihesum	Gv	7	32
Iudei ergo quoniam parasceve erat … et tollerentur (Gv 19, 31)	Iudei ergo quoniam parasceve erat … et tollerentur	Gv	19	31
Et ecce quidam regulus … incipiebat inquit mori (Gv 4, 46-47)	Et ecce quidam regulus … incipiebat inquit mori	Gv	4	46-47
Quis ex vobis arguit me de peccato … non estis (Gv 8, 46-47)	Quis ex vobis arguit me de peccato … non estis	Gv	8	46-47
Collegerunt pontifices et pharisaei concilium et dicebant quid faciamus (Gv 11, 47)	Collegerunt pontifices et pharisaei concilium et dicebant quid faciamus	Gv	11	47
Amen amen dico vobis nisi granum … fructum affert (Gv 12, 24-25)	Amen amen dico vobis nisi granum … fructum affert	Gv	12	24-25
Si diligitis me … spiritus veritatis (Gv	Si diligitis me … spiritus veritatis	Gv	-	-
Cum esset sero die illo una sabbatorum ... et latus (Gv 20, 19-20)	Cum esset sero die illo una sabbatorum ... et latus	Gv	20	19-20
Et ecce quidam regulus … mori (Gv 4, 46-47)	Et ecce quidam regulus … mori	Gv	4	46-47
Collegerunt pontifices et pharisei concilium et dicebat quid facimus? (Gv 11, 47)	Collegerunt pontifices et pharisei concilium et dicebat quid facimus?	Gv	11	47
Ihesus ante sex dies … erat (Gv 12, 1-2)	Ihesus ante sex dies … erat	Gv	12	1-2
Erat homo ex phariseis Nichodemus … Rabbi (Gv 3, 1-2)	Erat homo ex phariseis Nichodemus … Rabbi	Gv	3	1-2
Et ecce quidam regulus… et sanaret filium eius incipiebat inquid mori (Gv 4, 46-47)	Et ecce quidam regulus… et sanaret filium eius incipiebat inquid mori	Gv	4	46-47
Cogitaverunt autem principes sacerdotum … credebant in Iesum (Gv 12, 10)	Cogitaverunt autem principes sacerdotum … credebant in Iesum	Gv	12	10
Miserunt principes et phariseis … Ihesus. (Gv 7, 32)	Miserunt principes et phariseis … Ihesus.	Gv	7	32
Collegerunt pontifices … facimus (Gv 11, 47)	Collegerunt pontifices … facimus	Gv	11	47
Amen amen dico vobis: nisi granum  frumenti cadens in terra  … offert (Gv 12, 24-25)	Amen amen dico vobis: nisi granum  frumenti cadens in terra  … offert	Gv	12	24-25
Dixit Iesus Simoni Petro ... et ducet quo tu non vis (Gv 21, 15-18)	Dixit Iesus Simoni Petro ... et ducet quo tu non vis	Gv	21	15-18
Et ecce quidam regulus cuius filius infirmabatur … incipiebat enim inquid mori (Gv. 4, 46-47)	Et ecce quidam regulus cuius filius infirmabatur … incipiebat enim inquid mori	Gv.	4	46-47
Si diligitis me … veritatis. (Io 14, 15-17)	Si diligitis me … veritatis.	Io	14	15-17
Si abstuleris de medio tui catenam ... meridies(Is 58, 9-10)	Si abstuleris de medio tui catenam ... meridies	Is	58	9-10
Et factum est cum intraret ... illum (Lc 14, 1-2)	Et factum est cum intraret ... illum	Lc	14	1-2
Factum est in una dierum ... sedentes (Lc 5, 17) et caetera	Factum est in una dierum ... sedentes	Lc	5	17
Ecce vir venit … erat  (Lc 8, 41)	Ecce vir venit … erat	Lc	8	41
Et observantes miserunt ... praesidis (Lc 20, 20)	Et observantes miserunt ... praesidis	Lc	20	20
Adtendite a fermento … ypocrisis. (Lc 12, 1)	Adtendite a fermento … ypocrisis.	Lc	12	1
Exurgens autem Maria in diebus … Elisabeth (Lc 1, 39-40)	Exurgens autem Maria in diebus … Elisabeth	Lc	1	39-40
Factum est cum appropinquantes … mendicans (Lc 18, 35)	Factum est cum appropinquantes … mendicans	Lc	18	35
Ecce ego mitto vos … lupos (Lc 10, 3)	Ecce ego mitto vos … lupos	Lc	10	3
Et ingressus perambulabat ... Deum (Lc 19, 1-4; 18, 27)	Et ingressus perambulabat ... Deum	Lc	19	27
Regressus est iesus ... ab omnibus (Lc 4, 14-15)	Regressus est iesus ... ab omnibus	Lc	4	14-15
Et cum facti essent iesu anni duodecim (Lc 2, 42)	Et cum facti essent iesu anni duodecim	Lc	2	42
Et ut perfecerunt omnia saecundum legem … suam Nazareth (Lc 2,39)	Et ut perfecerunt omnia saecundum legem … suam Nazareth	Lc	2	39
Quanta audivimus facta in Capharnaum … patria tua (Lc 4, 23)	Quanta audivimus facta in Capharnaum … patria tua	Lc	4	23
Socrus Symonis Petri tenebatur magnis febribus (Lc 4, 38)	Socrus Symonis Petri tenebatur magnis febribus	Lc	4	38
Et factum est: deinceps ibat civitatem quae vocatur Naim (Lc 7, 11)	Et factum est: deinceps ibat civitatem quae vocatur Naim	Lc	7	11
Et ipse elevatis oculis ... Dei (Lc 6, 20)	Et ipse elevatis oculis ... Dei	Lc	6	20
Et regressus est … Galileam (Lc 4,14)	Et regressus est … Galileam	Lc	4	14
Factum est autem cum turbae … Genesareth (Lc 5, 1)	Factum est autem cum turbae … Genesareth	Lc	5	1
