Agnes v m Roma
Alexius c Edessa-Roma s. 5
Andreas ap
Andreas ap: vig
Angeli custodes
Ascensio
Ascensio: vig.
Augustinus ep Ippona
Bartholomaeus ap
Crux: Exaltatio
Epiphania Dni
Epiphania Dni: vig.
Felicitas & Filii
Iesus: Transfiguratio
Innocentes
Ioannes B.: Decollatio
Ioannes B.: Nativitas
Ioannes B.: vig
Ioannes Paulus
Ioannes ev.
Laurentius diac m Roma
Laurentius: vig
Machabaei
Marcellus Apuleius
Marcus ev
Maria Magdalena
Maria: Annuntiatio
Maria: Assumptio
Maria: Assumptio: vig
Maria: Nativitas
Maria: Purificatio
Marina v
Matthaeus ap
Michael: Appar/Invent/Victoria
Michael: Dedic
Nat. Dni: vig.
Nativitas Dni
Oct. Epiph. Dni
Oct. Nat. Dni
Paulus: Comm
Paulus: Conv
Pentecostes
Pentecostes: vig.
Petrus Paulus
Petrus ap
Petrus: Cathedra Romae
Petrus: ad Vincula
Petrus: vig
Philippus Iacobus
Sancti omnes
Sergius Bacchus
Silvester pp
Stephanus
Stephanus diac protom
Trinitas
apostoli
apostolus
confessores pontifices
dom infra Oct. Epiph. Dni
dominica 1 Quadragesimæ
dominica 1 adventus
dominica 1 adventus MED
dominica 1 post Oct. Epiph.
dominica 1 post Pentec.
dominica 10 post Pentec.
dominica 11 post Pentec.
dominica 12 post Pentec.
dominica 13 post Pentec.
dominica 14 post Pentec.
dominica 16 post Pentec.
dominica 17 post Pentec.
dominica 18 post Pentec.
dominica 19 post Pentec.
dominica 2 Paschæ (in Albis)
dominica 2 Quadragesimæ
dominica 2 adventus
dominica 2 adventus MED
dominica 2 post Oct. Epiph.
dominica 2 post Pentec.
dominica 20 post Pentec.
dominica 21 post Pentec.
dominica 22 post Pentec.
dominica 23 post Pentec.
dominica 24 post Pentec.
dominica 25 post Pentec.
dominica 3 Paschæ
dominica 3 Quadragesimæ
dominica 3 adventus
dominica 3 post Oct. Epiph.
dominica 3 post Pentec.
dominica 4 Paschæ
dominica 4 Quadragesimæ
dominica 4 adventus
dominica 4 post Oct. Epiph.
dominica 4 post Pentec.
dominica 5 Paschæ
dominica 5 Quadragesimæ (Passionis)
dominica 5 post Oct. Epiph.
dominica 5 post Pentec.
dominica 6 Paschæ
dominica 6 Quadragesimæ (Palmarum).
dominica 6 post Oct. Epiph.
dominica 6 post Pentec.
dominica 7 Paschæ
dominica 7 post Pentec.
dominica 8 post Pentec.
dominica 9 post Pentec.
dominica Paschæ
dominica Quinquagesimæ
dominica Septuagesimæ
dominica Sexagesimæ
dominica post Nat. Dni
ecclesiae dedicatione, in
feria 2 Paschæ
feria 2 hebd. 1 Quadragesimæ
feria 2 hebd. 2 Quadragesimæ
feria 2 hebd. 3 Quadragesimæ
feria 2 hebd. 4 Quadragesimæ
feria 2 hebd. sanctæ
feria 2 post Dom. Passionis
feria 2 post Epiph. Dni
feria 2 post Pentec.
feria 3 Paschæ
feria 3 hebd. 1 Quadragesimæ
feria 3 hebd. 2 Quadragesimæ
feria 3 hebd. 3 Quadragesimæ
feria 3 hebd. 4 Quadragesimæ
feria 3 hebd. sanctæ
feria 3 post Dom. Passionis
feria 3 post Epiph. Dni
feria 3 post Pentec.
feria 4 Cinerum
feria 4 Paschæ
feria 4 QT Quadragesimæ
feria 4 QT adventus
feria 4 QT post Pentec.
feria 4 ante Nat. Dni
feria 4 hebd. 2 Quadragesimæ
feria 4 hebd. 2 adventus
feria 4 hebd. 3 Quadragesimæ
feria 4 hebd. 4 Quadragesimæ
feria 4 hebd. 7 Paschæ
feria 4 hebd. sanctæ
feria 4 post Dom. Passionis
feria 4 post Epiph. Dni
feria 5 Paschæ
feria 5 hebd. 1 Quadragesimæ
feria 5 hebd. 2 Quadragesimæ
feria 5 hebd. 2 adventus
feria 5 hebd. 3 Quadragesimæ
feria 5 hebd. 4 Quadragesimæ
feria 5 hebd. 7 Paschæ
feria 5 hebd. sanctæ
feria 5 post Cineres
feria 5 post Dom. Passionis
feria 5 post Pentec.
feria 6 Paschæ
feria 6 QT Quadragesimæ
feria 6 QT adventus
feria 6 QT post Pentec.
feria 6 ante Nat. Dni
feria 6 hebd. 2 Quadragesimæ
feria 6 hebd. 3 Quadragesimæ
feria 6 hebd. 4 Quadragesimæ
feria 6 hebd. sanctæ
feria 6 post Cineres
feria 6 post Dom. Passionis
martyr
martyres
sabbato Paschæ
sabbato QT Quadragesimæ
sabbato QT adventus
sabbato QT post Pentec.
sabbato ante Nat. Dni
sabbato hebd. 2 Quadragesimæ
sabbato hebd. 3 Quadragesimæ
sabbato hebd. 4 Quadragesimæ
sabbato post Cinneres
sabbato post Dom. Passionis
sabbato sancto
virgines
